voter,position,book,author,top100
"Cohen, Joshua",5,Parade's End,"Ford, Ford Madox",FALSE
"Hadley, Tessa",7,Parade's End,"Ford, Ford Madox",FALSE
"Harris, Alexandra",8,The Good Soldier,"Ford, Ford Madox",TRUE
"Enright, Anne",9,The Good Soldier,"Ford, Ford Madox",TRUE
"Edwards, Jack",4,The Good Soldier,"Ford, Ford Madox",TRUE
"Knight, Lucy",10,The Good Soldier,"Ford, Ford Madox",TRUE
"Poole, Steven",6,The Good Soldier,"Ford, Ford Madox",TRUE
"Chaudhuri, Amit",10,The Sportswriter,"Ford, Richard",FALSE
"Donkor, Michael",7,A Passage to India,"Forster, E. M.",FALSE
"Bari, Shahidha",2,A Passage to India,"Forster, E. M.",FALSE
"Solomon, Andrew",7,Howards End,"Forster, E. M.",TRUE
"Nicholls, David",7,Howards End,"Forster, E. M.",TRUE
"Day, Elizabeth",1,Howards End,"Forster, E. M.",TRUE
"Boyne, John",7,Howards End,"Forster, E. M.",TRUE
"Bakewell, Sarah",9,Howards End,"Forster, E. M.",TRUE
"Myers, Benjamin",3,Maurice,"Forster, E. M.",FALSE
"van der Wouden, Yael",3,Maurice,"Forster, E. M.",FALSE
"Power, Chris",10,Septology,"Fosse, Jon",FALSE
"Haddon, Mark",6,Septology,"Fosse, Jon",FALSE
"Dawoor, Yagnishsing",10,Septology,"Fosse, Jon",FALSE
"Cain, Sian",6,The Collector,"Fowles, John",FALSE
"Calder, Jem",7,The Corrections,"Franzen, Jonathan",FALSE
"Power, Kevin",8,The Corrections,"Franzen, Jonathan",FALSE
"Osman, Richard",4,Towards the End of the Morning,"Frayn, Michael",FALSE
"Kushner, Rachel",5,The Recognitions,"Gaddis, William",FALSE
"Khan, Uzma Aslam",1,Memory of Fire,"Galeano, Eduardo",FALSE
"Barr, Damian",8,The Trick Is to Keep Breathing,"Galloway, Janice",FALSE
"Maarouf, Mazen",8,Chronicle of a Death Foretold,"García Márquez, Gabriel",FALSE
"Enright, Anne",7,Love in the Time of Cholera,"García Márquez, Gabriel",FALSE
"Viner, Katharine",5,Love in the Time of Cholera,"García Márquez, Gabriel",FALSE
"Chabon, Michael",3,Love in the Time of Cholera,"García Márquez, Gabriel",FALSE
