voter,position,book,author,top100
"Thirlwell, Adam",7,The Trial,"Kafka, Franz",TRUE
"Mabanckou, Alain",5,The Trial,"Kafka, Franz",TRUE
"Tóibín, Colm",4,The Trial,"Kafka, Franz",TRUE
"Diop, David",2,The Trial,"Kafka, Franz",TRUE
"Batuman, Elif",8,The Trial,"Kafka, Franz",TRUE
"Saniee, Parinoush",7,The Trial,"Kafka, Franz",TRUE
"Smith, PD",3,The Trial,"Kafka, Franz",TRUE
"Sands, Philippe",2,The Trial,"Kafka, Franz",TRUE
"Rushdie, Salman",3,The Trial,"Kafka, Franz",TRUE
"Rashid, Tanjll",1,The Trial,"Kafka, Franz",TRUE
"Boyd, William",9,The Trial,"Kafka, Franz",TRUE
"Maarouf, Mazen",10,Men in the Sun and Other Palestinian Stories,"Kanafani, Ghassan",FALSE
"Mengiste, Maaza",8,Human Acts,"Kang, Han",FALSE
"Sands, Philippe",3,Human Acts,"Kang, Han",FALSE
"Loffhagen, Emma",8,The Vegetarian,"Kang, Han",TRUE
"Murata, Sayaka",2,The Vegetarian,"Kang, Han",TRUE
"Mackintosh, Sophie",9,The Vegetarian,"Kang, Han",TRUE
"Anam, Tahmima",9,The Vegetarian,"Kang, Han",TRUE
"Murata, Sayaka",8,Ice,"Kavan, Anna",FALSE
"O’Farrell, Maggie",4,Foster,"Keegan, Claire",FALSE
"Craig, Amanda",1,Small Things Like These,"Keegan, Claire",FALSE
"Knapp, Florence",9,Small Things Like These,"Keegan, Claire",FALSE
